Year,Total,cpue,se
1978,2,NA,0.3
1979,1018,NA,0.3
1980,173765,NA,0.3
1981,60540,NA,0.3
1982,258596,NA,0.3
1983,124704,NA,0.3
1984,64112,NA,0.3
1985,140208,NA,0.3
1986,227095,NA,0.3
1987,18427,NA,0.3
1988,98281,NA,0.3
1989,88101,NA,0.3
1990,223533,NA,0.3
1991,159984,NA,0.3
1992,117802,NA,0.3
1993,12670,NA,0.3
1994,19259,NA,0.3
1995,48833,NA,0.3
1996,2734,NA,0.3
1997,99,NA,0.3
1998,6673,4.037437779,0.3
1999,62077,7.146091108,0.3
2000,16891,4.935065859,0.3
2001,4981,4.163481845,0.3
2002,72060,6.377937631,0.3
2003,15427,5.436892735,0.3
2004,46456,4.465800917,0.3
2005,73494,2.882374838,0.3
2006,3102,11.18913512,0.3
2007,65591,9.716261806,0.3
2008,93384,3.674544592,0.3
2009,91855,10.05633394,0.3
2010,49999,12.4190976,0.3
2011,115995,8.263406836,0.3
2012,29040,7.026917044,0.3
2013,31306,8.643829481,0.3
2014,72455,9.527633524,0.3
2015,17101,8.466477364,0.3
2016,34302,8.907962188,0.3
2017,69046,8.936349345,0.3
2018,137880,10.32405697,0.3
2019,161502,NA,0.3
2020,178382,NA,0.3